,ID,Service,Rateper1000,Minorder,Maxorder,Description
0,656,Instagram Likes [100% Real Accounts⚡⚡] - [Speed 3K / Hour],0.57,50,50000,Non Drop LikesSpeed: 1-3K / Hour
1,18,Instagram Likes (Instant) [5K / Hour] [30K] 🚀,0.29,20,30000,Drop 50%
2,630,Instagram Followers | LESS DROP | Max 5K 🔥🔥,1.90,100,5000,Always Very Less Drop!!No Refill / No RefundMin 100Max 5000Start: 0 - 10 Mins
3,320,Instagram Followers [Guaranteed] [FASTEST] [Refill 30] [50K],6.50,50,50000,Start: InstantRefill: 30 DaysRefill Button Enabled.
4,661,Facebook Post Likes (Instanat Start) [Max 10K],3.10,50,10000,
5,274,Youtube Views [20 - 30K / Day] [Lifetime Guaranteed],1.40,1000,1000000,
6,669,Youtube Views [10K / Day Speed] - [Lifetime Guarantee] - Retention Changed,1.25,1000,1000000,Retention Random5 Sec to 5 Mins
7,340,Youtube Views (30K / Day) (Instant Start) (Non Drop),1.60,1000,10000000,Instant StartRetention: 10 Seconds - 5 Mins [Random Sometimes]Lifetime Guarantee
8,529,YouTube Subscribers [5K / Day] [Refill button 30] [Max 30k],7.50,100,30000,Start Time: 0-12hrSpeed: 3-5K Per dayRefill: 30 DaysSUBSCRIBERS COUNT SHOULD BE PUBLIC
9,668,Tiktok - Views - [ SUPER INSTANT] - [ SPEED 1M / HOUR],0.007,100,1000000000,
10,658,Tiktok - Likes - [5K / Day Speed] [Max 10K],1.20,100,10000,No RefillSpeed : 5K / DayMin 100Max 10000
11,659,Tiktok - Views - Instant Start | 100K / Day | [Max 10M],0.008,500,1000000,
12,476,Instagram Likes (SUPER FAST) (30K / Hour) ⚡️🔥🔥{0.8$},0.80,10,30000,Always InstantSpeed: 30K / Hour
13,654,Instagram Likes [Real Likes] [5K / Day] [10K] {0.45$},0.45,100,10000,
14,376,Instagram Likes [MAX 30K] SUPER FAST⚡️⚡️⚡️⚡️⚡️,1.26,20,100000,Fastest Likes in Market
15,486,Instagram Likes [20K / Hour] [Max 30K] 🔥,1.60,20,30000,Instant StartVery FastMin 10 Max 10k
16,611,Instagram TV Views [Instant Start] [10M],0.025,200,100000000,
17,156,Instagram Video Views [MAX 10M],0.009,200,100000000,No Refill / No Refund even if not delivered
18,394,Facebook Video Views [CHEAP],0.09,200,1000000000,
19,502,Instagram Story Views [FAST] [LQ] [Username Only] [ All Story ] [ 10K ],0.053,100,30000,
20,98,Instagram All Story Views [WORKING] (Max 100K),0.13,100,100000,Username OnlyLow QualityStory Views with Low Quality Profiles.
21,396,Instagram Story Views (ALL) Mixed,0.15,100,5000,
22,391,Instagram Likes - Real Account Likes [POWER LIKES] - Instant Start (HQ) - [50K / DAY]⚡️⚡️⚡️,1.90,20,50000,Speed: 10K / DayProfiles with 5k - 200K Followers!Real AccountsIncrease the Chances of exploring.Min 20 Max 10000
23,460,Instagram Likes [100% Real Accounts⚡⚡] - [Speed 3K / Hour],0.60,50,50000,Real Account LikesSpeed 3K / HourCountries from Asia!Indians Mixed.
24,269,Instagram Likes [ SUPER FAST ] - [ MAX 30K ] 🔥,0.82,20,30000,
25,314,Instagram Likes [Real] [6K / Day] [Max 10K],1.00,100,10000,Start : 0 - 10 MinsSpeed : 1-2K / HourMin : 100Max : 10000
26,351,Instagram Likes [1k / Day] + Refill Button 15 Days,1.00,10,5000,Start time: 0-1hSpeed: up to 200-1000 per dayDrop rate is ~10%Good quality accountsRefill button enabled15 days refill
27,172,Instagarm Likes (Instant Start ) [Real Profile Likes] [20K],0.90,50,20000,Real LikesMixed Indians and Usa Profiles!Instant Start
28,534,Instagram Likes  [Instant Start] [10k / Hour] [50K] [DROPPING],0.30,20,30000,
29,203,Instagram Likes - [SUPER FAST] - [MAX 30K] BEST,1.30,20,30000,
30,459,Instagram Likes - [10K / Hour] [Max 100k] [BOTS],0.82,20,100000,
31,382,Instagram Likes [ SUPER INSTANT ] [MAX 30K]🔥🔥,1.75,10,30000,
32,401,Instagram Likes (Instant Start) (With Profile Pics) [20K] SLOW,1.30,20,20000,
33,538,Instagram Likes [Fast] [With Profile Pics] EMERGENCY,2.00,10,30000,
34,236,🇮🇳Instagram Likes [INDIAN],0.85,50,10000,Instant Start100% Indian Likes.
35,220,🇹🇷Instgaram Likes [TURKEY],0.70,50,50000,
36,655,🇮🇷Instagram Likes [IRAN],1.20,100,3000,
